iter	Passed	Remaining
0	132	132797
1	133	66661
2	134	44610
3	134	33606
4	135	27026
5	136	22631
6	137	19491
7	138	17112
8	138	15262
9	139	13782
10	139	12571
11	140	11566
12	141	10711
13	141	9981
14	142	9354
15	143	8804
16	143	8317
17	144	7888
18	145	7504
19	146	7179
20	147	6863
21	147	6574
22	148	6314
23	149	6079
24	150	5857
25	150	5650
26	151	5458
27	152	5279
28	152	5111
29	153	4956
30	153	4810
31	154	4676
32	155	4550
33	155	4429
34	156	4315
35	157	4209
36	157	4110
37	158	4014
38	160	3945
39	160	3861
40	161	3779
41	162	3701
42	162	3626
43	163	3556
44	164	3488
45	165	3428
46	166	3367
47	166	3310
48	167	3253
49	168	3196
50	168	3141
51	169	3089
52	170	3038
53	170	2990
54	171	2943
55	171	2899
56	172	2856
57	173	2814
58	174	2775
59	174	2737
60	175	2699
61	176	2663
62	176	2628
63	177	2595
64	178	2562
65	178	2532
66	179	2504
67	180	2474
68	181	2444
69	181	2415
70	182	2387
71	183	2359
72	183	2331
73	184	2305
74	184	2279
75	185	2254
76	186	2229
77	186	2209
78	187	2186
79	188	2165
80	189	2144
81	189	2124
82	190	2100
83	190	2081
84	191	2061
85	192	2042
86	192	2023
87	193	2006
88	194	1989
89	194	1971
90	195	1953
91	196	1936
92	196	1919
93	197	1902
94	198	1886
95	198	1870
96	199	1855
97	199	1839
98	200	1824
99	201	1809
100	202	1798
101	202	1784
102	203	1771
103	204	1759
104	204	1746
105	205	1733
106	206	1721
107	206	1709
108	207	1697
109	208	1686
110	209	1676
111	209	1664
112	210	1653
113	211	1642
114	211	1631
115	212	1620
116	213	1608
117	213	1597
118	214	1587
119	215	1577
120	215	1566
121	216	1555
122	217	1547
123	217	1538
124	218	1528
125	219	1520
126	219	1510
127	220	1501
128	221	1493
129	221	1485
130	222	1476
131	223	1468
132	224	1460
133	224	1452
134	225	1444
135	226	1436
136	226	1427
137	227	1419
138	227	1411
139	228	1403
140	229	1395
141	229	1387
142	230	1379
143	230	1371
144	231	1364
145	232	1357
146	232	1350
147	233	1344
148	234	1337
149	234	1331
150	235	1325
151	236	1318
152	236	1311
153	237	1305
154	238	1299
155	238	1292
156	239	1286
157	240	1280
158	240	1274
159	241	1268
160	241	1260
161	242	1255
162	243	1249
163	244	1243
164	244	1238
165	245	1232
166	245	1226
167	246	1220
168	247	1216
169	248	1211
170	248	1206
171	249	1200
172	250	1195
173	250	1190
174	251	1185
175	252	1180
176	252	1175
177	253	1170
178	254	1166
179	254	1161
180	255	1156
181	256	1151
182	256	1146
183	257	1142
184	258	1137
185	258	1132
186	259	1127
187	260	1123
188	260	1118
189	261	1113
190	262	1110
191	262	1106
192	263	1102
193	264	1098
194	264	1093
195	265	1089
196	266	1085
197	266	1081
198	267	1077
199	268	1073
200	269	1069
201	269	1065
202	270	1062
203	271	1057
204	271	1054
205	272	1050
206	273	1046
207	273	1042
208	274	1038
209	274	1034
210	275	1030
211	276	1026
212	276	1022
213	277	1019
214	278	1015
215	278	1012
216	279	1009
217	280	1005
218	280	1001
219	281	998
220	282	994
221	282	991
222	283	988
223	284	985
224	285	981
225	285	978
226	286	974
227	286	971
228	287	968
229	288	964
230	288	961
231	289	958
232	290	954
233	290	951
234	291	948
235	292	945
236	292	942
237	293	939
238	294	936
239	294	933
240	295	930
241	296	927
242	296	924
243	297	921
244	298	918
245	298	915
246	299	912
247	300	910
248	300	907
249	301	904
250	302	901
251	302	898
252	303	895
253	303	892
254	304	889
255	305	886
256	305	883
257	306	880
258	307	878
259	307	876
260	308	873
261	309	871
262	309	868
263	310	865
264	311	863
265	311	860
266	312	858
267	313	855
268	313	853
269	314	850
270	315	847
271	315	845
272	316	843
273	317	841
274	318	838
275	318	836
276	319	833
277	320	831
278	320	828
279	321	826
280	321	823
281	322	821
282	323	819
283	324	817
284	324	814
285	325	812
286	326	810
287	326	807
288	327	805
289	328	803
290	329	801
291	329	799
292	330	797
293	331	795
294	331	792
295	332	790
296	332	788
297	333	785
298	334	783
299	334	781
300	335	779
301	336	776
302	336	774
303	337	772
304	338	770
305	338	768
306	339	766
307	340	764
308	340	762
309	341	760
310	342	758
311	343	756
312	343	754
313	344	752
314	345	750
315	345	748
316	346	746
317	346	744
318	347	741
319	348	739
320	348	737
321	349	735
322	350	733
323	350	731
324	351	729
325	351	727
326	352	725
327	353	724
328	354	722
329	354	720
330	355	718
331	356	717
332	357	715
333	357	713
334	358	711
335	359	710
336	359	708
337	360	706
338	361	704
339	361	702
340	362	700
341	363	698
342	363	696
343	364	694
344	364	692
345	365	690
346	366	688
347	366	687
348	367	685
349	368	684
350	369	682
351	369	680
352	370	679
353	371	677
354	371	675
355	372	673
356	373	672
357	374	670
358	374	669
359	375	667
360	376	665
361	376	664
362	377	662
363	378	660
364	378	659
365	379	657
366	380	655
367	380	654
368	381	652
369	382	651
370	383	649
371	383	648
372	384	646
373	385	644
374	386	643
375	386	641
376	387	640
377	388	638
378	388	637
379	389	635
380	390	633
381	390	632
382	391	630
383	392	629
384	392	627
385	393	625
386	394	624
387	394	622
388	395	620
389	395	619
390	396	617
391	397	615
392	397	614
393	398	613
394	399	611
395	400	610
396	400	608
397	401	607
398	402	605
399	402	604
400	403	602
401	404	601
402	405	600
403	405	598
404	406	597
405	407	595
406	407	594
407	408	592
408	408	590
409	409	589
410	410	587
411	410	586
412	411	584
413	412	583
414	412	582
415	413	580
416	414	579
417	415	578
418	415	576
419	416	575
420	417	573
421	417	572
422	418	571
423	419	569
424	420	568
425	420	566
426	421	565
427	422	563
428	422	562
429	423	560
430	423	559
431	424	558
432	425	556
433	425	555
434	426	553
435	426	552
436	427	551
437	428	549
438	429	548
439	429	546
440	430	545
441	431	544
442	431	542
443	432	541
444	433	540
445	433	538
446	434	537
447	435	536
448	435	534
449	436	533
450	436	531
451	437	530
452	438	529
453	438	527
454	439	526
455	440	525
456	440	523
457	441	522
458	442	521
459	442	519
460	443	518
461	444	517
462	445	516
463	445	514
464	446	513
465	447	512
466	447	511
467	448	509
468	449	508
469	450	507
470	450	506
471	451	505
472	452	503
473	452	502
474	453	501
475	453	499
476	454	498
477	455	497
478	455	495
479	456	494
480	457	493
481	457	491
482	458	490
483	459	489
484	460	488
485	460	487
486	461	486
487	462	485
488	463	483
489	463	482
490	464	481
491	464	480
492	465	478
493	466	477
494	467	476
495	467	475
496	468	473
497	468	472
498	469	471
499	470	470
500	471	469
501	471	467
502	472	466
503	473	465
504	473	464
505	474	463
506	475	462
507	475	460
508	476	459
509	477	458
510	477	457
511	478	456
512	479	455
513	480	453
514	480	452
515	481	451
516	482	450
517	482	449
518	483	448
519	484	447
520	484	445
521	485	444
522	486	443
523	487	442
524	488	441
525	488	440
526	489	439
527	490	438
528	491	437
529	491	436
530	492	434
531	493	433
532	493	432
533	494	431
534	495	430
535	495	429
536	496	428
537	497	427
538	497	425
539	498	424
540	499	423
541	500	422
542	500	421
543	501	420
544	502	419
545	502	418
546	503	417
547	504	415
548	504	414
549	505	413
550	506	412
551	507	411
552	507	410
553	508	409
554	509	408
555	509	407
556	510	406
557	511	405
558	512	403
559	512	402
560	513	401
561	514	400
562	514	399
563	515	398
564	516	397
565	516	396
566	517	395
567	518	394
568	518	392
569	519	391
570	520	391
571	521	389
572	521	388
573	522	387
574	523	386
575	523	385
576	524	384
577	525	383
578	526	382
579	526	381
580	527	380
581	528	379
582	529	378
583	529	377
584	530	376
585	530	375
586	531	374
587	532	373
588	533	372
589	534	371
590	534	370
591	535	369
592	536	368
593	536	367
594	537	365
595	538	364
596	538	363
597	539	362
598	540	361
599	541	360
600	542	359
601	542	358
602	543	357
603	544	356
604	544	355
605	545	354
606	546	353
607	546	352
608	547	351
609	548	350
610	548	349
611	549	348
612	550	347
613	551	346
614	551	345
615	552	344
616	553	343
617	553	342
618	554	341
619	555	340
620	556	339
621	556	338
622	557	337
623	558	336
624	558	335
625	559	334
626	560	333
627	560	332
628	561	331
629	561	330
630	562	328
631	563	328
632	564	327
633	564	326
634	565	325
635	566	324
636	566	323
637	567	322
638	568	321
639	569	320
640	570	319
641	570	318
642	571	317
643	572	316
644	572	315
645	573	314
646	574	313
647	574	312
648	575	311
649	576	310
650	576	309
651	577	308
652	577	307
653	578	306
654	579	305
655	580	304
656	581	303
657	581	302
658	582	301
659	583	300
660	583	299
661	584	298
662	585	297
663	585	296
664	586	295
665	587	294
666	587	293
667	588	292
668	589	291
669	589	290
670	590	289
671	590	288
672	591	287
673	592	286
674	592	285
675	593	284
676	594	283
677	595	282
678	595	281
679	596	280
680	597	279
681	597	278
682	598	277
683	599	276
684	600	276
685	601	275
686	601	274
687	602	273
688	603	272
689	603	271
690	604	270
691	604	269
692	605	268
693	606	267
694	606	266
695	607	265
696	608	264
697	608	263
698	609	262
699	610	261
700	610	260
701	611	259
702	612	258
703	612	257
704	613	256
705	614	255
706	615	254
707	615	254
708	616	253
709	617	252
710	617	251
711	618	250
712	618	249
713	619	248
714	620	247
715	620	246
716	621	245
717	622	244
718	623	243
719	623	242
720	624	241
721	625	240
722	626	239
723	626	238
724	627	238
725	628	237
726	628	236
727	629	235
728	630	234
729	630	233
730	631	232
731	632	231
732	632	230
733	633	229
734	633	228
735	634	227
736	635	226
737	635	225
738	636	224
739	636	223
740	637	222
741	638	221
742	639	221
743	640	220
744	640	219
745	641	218
746	642	217
747	642	216
748	643	215
749	644	214
750	644	213
751	645	212
752	646	211
753	646	211
754	647	210
755	647	209
756	648	208
757	649	207
758	649	206
759	650	205
760	651	204
761	651	203
762	652	202
763	653	201
764	653	200
765	654	199
766	655	199
767	655	198
768	656	197
769	657	196
770	658	195
771	658	194
772	659	193
773	660	192
774	660	191
775	661	190
776	661	189
777	662	189
778	663	188
779	663	187
780	664	186
781	664	185
782	665	184
783	666	183
784	666	182
785	667	181
786	668	180
787	668	179
788	669	179
789	670	178
790	670	177
791	671	176
792	672	175
793	673	174
794	673	173
795	674	172
796	674	171
797	675	171
798	676	170
799	676	169
800	677	168
801	678	167
802	678	166
803	679	165
804	679	164
805	680	163
806	681	162
807	681	161
808	682	161
809	683	160
810	683	159
811	684	158
812	685	157
813	686	156
814	686	155
815	687	155
816	688	154
817	689	153
818	689	152
819	690	151
820	691	150
821	691	149
822	692	148
823	692	148
824	693	147
825	694	146
826	694	145
827	695	144
828	696	143
829	696	142
830	697	141
831	698	140
832	698	140
833	699	139
834	700	138
835	700	137
836	701	136
837	702	135
838	703	134
839	703	134
840	704	133
841	705	132
842	705	131
843	706	130
844	707	129
845	707	128
846	708	127
847	708	127
848	709	126
849	710	125
850	710	124
851	711	123
852	712	122
853	712	121
854	713	121
855	714	120
856	715	119
857	715	118
858	716	117
859	717	116
860	717	115
861	718	115
862	719	114
863	719	113
864	720	112
865	721	111
866	721	110
867	722	109
868	723	109
869	723	108
870	724	107
871	725	106
872	725	105
873	726	104
874	726	103
875	727	102
876	728	102
877	729	101
878	730	100
879	731	99
880	731	98
881	732	97
882	733	97
883	733	96
884	734	95
885	735	94
886	735	93
887	736	92
888	737	92
889	737	91
890	738	90
891	739	89
892	739	88
893	740	87
894	740	86
895	741	86
896	742	85
897	743	84
898	743	83
899	744	82
900	745	81
901	746	81
902	746	80
903	747	79
904	748	78
905	749	77
906	749	76
907	750	76
908	750	75
909	751	74
910	752	73
911	752	72
912	753	71
913	753	70
914	754	70
915	755	69
916	755	68
917	756	67
918	757	66
919	757	65
920	758	65
921	759	64
922	760	63
923	760	62
924	761	61
925	762	60
926	763	60
927	763	59
928	764	58
929	765	57
930	765	56
931	766	55
932	766	55
933	767	54
934	768	53
935	768	52
936	769	51
937	770	50
938	770	50
939	771	49
940	772	48
941	772	47
942	773	46
943	774	45
944	774	45
945	775	44
946	776	43
947	777	42
948	777	41
949	778	40
950	779	40
951	780	39
952	780	38
953	781	37
954	782	36
955	782	36
956	783	35
957	783	34
958	784	33
959	785	32
960	785	31
961	786	31
962	787	30
963	787	29
964	788	28
965	789	27
966	789	26
967	790	26
968	791	25
969	791	24
970	792	23
971	793	22
972	794	22
973	794	21
974	795	20
975	796	19
976	796	18
977	797	17
978	797	17
979	798	16
980	799	15
981	799	14
982	800	13
983	801	13
984	801	12
985	802	11
986	803	10
987	803	9
988	804	8
989	805	8
990	806	7
991	806	6
992	807	5
993	808	4
994	809	4
995	809	3
996	810	2
997	811	1
998	811	0
999	812	0
